what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014122377
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288014125739
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288014125785
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288014126365
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288014126594
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014128707
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014131168
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014139163
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014201405
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288014223077
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014223256
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288014230437
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288014230553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288014230700
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288014230856
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288014230992
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288014231208
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014298655
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014298830
error,log,,,"Unhandled event loop exception",1288014299209
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014303151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014303271
error,log,,,"Unhandled event loop exception",1288014303327
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014308670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014308831
error,log,,,"Unhandled event loop exception",1288014308886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014312046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014312227
error,log,,,"Unhandled event loop exception",1288014312293
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014315406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014315575
error,log,,,"Unhandled event loop exception",1288014315663
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014318535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014318702
error,log,,,"Unhandled event loop exception",1288014318755
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014321397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014330295
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288014330476
error,log,,,"Unhandled event loop exception",1288014331164
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014339245
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014351487
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014352472
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014353439
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014364888
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288014366360
