what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021055776
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021057723
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288021063092
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021112097
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288021133303
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021134124
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021185540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021185730
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021186193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021190506
error,log,,,"Unhandled event loop exception",1288021190646
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021194950
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021238033
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288021240577
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021241006
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021242525
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021242811
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021250423
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021304204
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288021307989
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021308698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021374867
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021444832
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021449268
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288021491226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021504092
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021507681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021515459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021523094
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021571897
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021572065
error,log,,,"Unhandled event loop exception",1288021572248
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1288021579740
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021599623
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021610066
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021638180
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288021665976
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021670684
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021677516
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021678447
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021855930
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288021860074
